id,x,y
901,-510.102,-170.034
902,-488.847,-170.034
903,-467.593,-170.034
904,-446.339,-170.034
905,-425.085,-170.034
906,-403.831,-170.034
907,-382.576,-170.034
908,-361.322,-170.034
909,-340.068,-170.034
910,-318.814,-170.034
911,-297.559,-170.034
912,-276.305,-170.034
913,-255.051,-170.034
914,-233.797,-170.034
915,-212.542,-170.034
916,-191.288,-170.034
917,-170.034,-170.034
918,-148.78,-170.034
919,-127.525,-170.034
920,-106.271,-170.034
921,-85.017,-170.034
922,-63.763,-170.034
923,-42.508,-170.034
924,-21.254,-170.034
925,0,-170.034
926,21.254,-170.034
927,42.508,-170.034
928,63.763,-170.034
929,85.017,-170.034
930,106.271,-170.034
931,127.525,-170.034
932,148.78,-170.034
933,170.034,-170.034
934,191.288,-170.034
935,212.542,-170.034
936,233.797,-170.034
937,255.051,-170.034
938,276.305,-170.034
939,297.559,-170.034
940,318.814,-170.034
941,340.068,-170.034
942,361.322,-170.034
943,382.576,-170.034
944,403.831,-170.034
945,425.085,-170.034
946,446.339,-170.034
947,467.593,-170.034
948,488.847,-170.034
949,510.102,-170.034
950,531.356,-170.034
951,552.61,-170.034
952,573.864,-170.034
953,595.119,-170.034
954,616.373,-170.034
955,-616.373,-148.78
956,-595.119,-148.78
957,-573.864,-148.78
958,-552.61,-148.78
959,-531.356,-148.78
960,-510.102,-148.78
961,-488.847,-148.78
962,-467.593,-148.78
963,-446.339,-148.78
964,-425.085,-148.78
965,-403.831,-148.78
966,-382.576,-148.78
967,-361.322,-148.78
968,-340.068,-148.78
969,-318.814,-148.78
970,-297.559,-148.78
971,-276.305,-148.78
972,-255.051,-148.78
973,-233.797,-148.78
974,-212.542,-148.78
975,-191.288,-148.78
976,-170.034,-148.78
977,-148.78,-148.78
978,-127.525,-148.78
979,-106.271,-148.78
980,-85.017,-148.78
981,-63.763,-148.78
982,-42.508,-148.78
983,-21.254,-148.78
984,0,-148.78
985,21.254,-148.78
986,42.508,-148.78
987,63.763,-148.78
988,85.017,-148.78
989,106.271,-148.78
990,127.525,-148.78
991,148.78,-148.78
992,170.034,-148.78
993,191.288,-148.78
994,212.542,-148.78
995,233.797,-148.78
996,255.051,-148.78
997,276.305,-148.78
998,297.559,-148.78
999,318.814,-148.78
1000,340.068,-148.78
1001,361.322,-148.78
1002,382.576,-148.78
1003,403.831,-148.78
1004,425.085,-148.78
1005,446.339,-148.78
1006,467.593,-148.78
1007,488.847,-148.78
1008,510.102,-148.78
1009,531.356,-148.78
1010,552.61,-148.78
1011,573.864,-148.78
1012,595.119,-148.78
1013,616.373,-148.78
1014,-616.373,-127.525
1015,-595.119,-127.525
1016,-573.864,-127.525
1017,-552.61,-127.525
1018,-531.356,-127.525
1019,-510.102,-127.525
1020,-488.847,-127.525
1021,-467.593,-127.525
1022,-446.339,-127.525
1023,-425.085,-127.525
1024,-403.831,-127.525
1025,-382.576,-127.525
1026,-361.322,-127.525
1027,-340.068,-127.525
1028,-318.814,-127.525
1029,-297.559,-127.525
1030,-276.305,-127.525
1031,-255.051,-127.525
1032,-233.797,-127.525
1033,-212.542,-127.525
1034,-191.288,-127.525
1035,-170.034,-127.525
1036,-148.78,-127.525
1037,-127.525,-127.525
1038,-106.271,-127.525
1039,-85.017,-127.525
1040,-63.763,-127.525
1041,-42.508,-127.525
1042,-21.254,-127.525
1043,0,-127.525
1044,21.254,-127.525
1045,42.508,-127.525
1046,63.763,-127.525
1047,85.017,-127.525
1048,106.271,-127.525
1049,127.525,-127.525
1050,148.78,-127.525
1051,170.034,-127.525
1052,191.288,-127.525
1053,212.542,-127.525
1054,233.797,-127.525
1055,255.051,-127.525
1056,276.305,-127.525
1057,297.559,-127.525
1058,318.814,-127.525
1059,340.068,-127.525
1060,361.322,-127.525
1061,382.576,-127.525
1062,403.831,-127.525
1063,425.085,-127.525
1064,446.339,-127.525
1065,467.593,-127.525
1066,488.847,-127.525
1067,510.102,-127.525
1068,531.356,-127.525
1069,552.61,-127.525
1070,573.864,-127.525
1071,595.119,-127.525
1072,616.373,-127.525
1073,-616.373,-106.271
1074,-595.119,-106.271
1075,-573.864,-106.271
1076,-552.61,-106.271
1077,-531.356,-106.271
1078,-510.102,-106.271
1079,-488.847,-106.271
1080,-467.593,-106.271
1081,-446.339,-106.271
1082,-425.085,-106.271
1083,-403.831,-106.271
1084,-382.576,-106.271
1085,-361.322,-106.271
1086,-340.068,-106.271
1087,-318.814,-106.271
1088,-297.559,-106.271
1089,-276.305,-106.271
1090,-255.051,-106.271
1091,-233.797,-106.271
1092,-212.542,-106.271
1093,-191.288,-106.271
1094,-170.034,-106.271
1095,-148.78,-106.271
1096,-127.525,-106.271
1097,-106.271,-106.271
1098,-85.017,-106.271
1099,-63.763,-106.271
1100,-42.508,-106.271
1101,-21.254,-106.271
1102,0,-106.271
1103,21.254,-106.271
1104,42.508,-106.271
1105,63.763,-106.271
1106,85.017,-106.271
1107,106.271,-106.271
1108,127.525,-106.271
1109,148.78,-106.271
1110,170.034,-106.271
1111,191.288,-106.271
1112,212.542,-106.271
1113,233.797,-106.271
1114,255.051,-106.271
1115,276.305,-106.271
1116,297.559,-106.271
1117,318.814,-106.271
1118,340.068,-106.271
1119,361.322,-106.271
1120,382.576,-106.271
1121,403.831,-106.271
1122,425.085,-106.271
1123,446.339,-106.271
1124,467.593,-106.271
1125,488.847,-106.271
1126,510.102,-106.271
1127,531.356,-106.271
1128,552.61,-106.271
1129,573.864,-106.271
1130,595.119,-106.271
1131,616.373,-106.271
1132,-616.373,-85.017
1133,-595.119,-85.017
1134,-573.864,-85.017
1135,-552.61,-85.017
1136,-531.356,-85.017
1137,-510.102,-85.017
1138,-488.847,-85.017
1139,-467.593,-85.017
1140,-446.339,-85.017
1141,-425.085,-85.017
1142,-403.831,-85.017
1143,-382.576,-85.017
1144,-361.322,-85.017
1145,-340.068,-85.017
1146,-318.814,-85.017
1147,-297.559,-85.017
1148,-276.305,-85.017
1149,-255.051,-85.017
1150,-233.797,-85.017
1151,-212.542,-85.017
