crystal_id,C_pi0
796,1.051198707634134
797,1.0495502479482728
798,1.0479772262620617
799,1.0713966388449918
800,1.0373834930922525
801,1.058653788327216
802,1.058189667141949
803,1.0539639927715438
804,1.0262354696781275
805,1.0307515574459605
806,1.0425188545615207
807,1.0763986910038714
808,1.0435218187371829
809,1.0487324433568987
810,1.0609286498069563
811,1.0449660468097117
812,1.0508958592456707
813,1.0331302252737196
814,1.0266234470856193
815,1.0434805659318531
816,1.0573230622107967
817,1.0421873101080046
818,1.0514980439950707
819,1.03525919069637
820,1.0527685088995449
821,1.0349805886992447
822,1.062843905671724
823,1.0546742219053096
824,1.044381989429091
825,1.0720537609600593
826,1.066672462472664
827,1.0503924602240997
828,1.0431311544301807
829,1.0713290431982638
830,1.064844421435934
831,1.0172107129592924
832,1.0528436375914607
833,1.05066219865324
834,1.0963136492554886
835,1.042138017145891
836,1.0759225738375762
837,1.1313172221344268
838,1.0
839,1.0
840,1.0897934715343012
841,1.0264700212181876
842,1.0741553486325988
843,1.0
844,1.0513884257763038
845,1.0580494799169016
846,1.061619060289904
847,1.0513209449995682
848,1.074681216367414
849,1.0800758829529007
850,1.0455883873570742
851,1.0698979471375094
852,1.0452394899430044
853,1.0411011383373365
854,1.0613157355914458
855,1.0644572165351758
856,1.0694484107925062
857,1.035984991545863
858,1.0258981314438713
859,1.056831194402554
860,1.037457635346192
861,1.0513053412669315
862,1.0410644237364437
863,1.0447793717767808
864,1.0556954676951171
865,1.0336734211594123
866,1.0447711789895031
867,1.0290098501128415
868,1.0413898866565499
869,1.0404370877905509
870,1.0618458190975355
871,1.0525532953293684
872,1.053009071728184
873,1.0564520887005122
874,1.0637642228695887
875,1.0553121612950624
876,1.043594640408844
877,1.0462204120154175
878,1.0597306186400366
879,1.0376333454497049
880,1.0735084176732668
881,1.05776356765524
882,1.0448331698559725
883,1.0582309943465422
884,1.0577386478675324
885,1.0902997071205798
886,1.05260964379881
887,1.0551116021807072
888,1.0496677980643287
889,1.0380816104180437
890,1.059598985952077
891,1.0733061434239148
892,1.093255066735263
893,1.040667479754698
894,1.0974943802094053
895,1.0
896,1.0
897,1.0
898,1.0920237253862373
899,1.0
900,1.086217817058746
901,1.0776510445966114
902,1.0895403437759346
903,1.0700564102754013
904,1.0687629396895537
905,1.069286845560511
906,1.024438767830736
907,1.064029873083209
908,1.0690770109430996
909,1.0542771786589293
910,1.0394437422646403
911,1.0583135163602098
912,1.0581377196254105
913,1.0557985345321967
914,1.051282293297603
915,1.0424112701222323
916,1.0492075033558554
917,1.0600176711257416
918,1.0408329921776023
919,1.0251481286079378
920,1.0352186217975967
921,1.051844787450349
922,1.0439453837267079
923,1.048745157333637
924,1.0348243419509264
925,1.0436975745502948
926,1.0532022381865151
927,1.0526083487063158
928,1.0469182518842437
929,1.0535096842338272
930,1.0353297042389484
931,1.0580419232315108
932,1.0339391641785793
933,1.0511902435756797
934,1.0393465641267765
935,1.0501861588776549
936,1.0557744760989702
937,1.0743803057196282
938,1.076123264329381
939,1.0519804824691503
940,1.0519603850486743
941,1.0456451146555823
942,1.0545743980836926
943,1.0452630234022855
944,1.0311156251828881
945,1.054504527663669
946,1.0476537120728324
947,1.0634915843372628
